pregunta,respuesta1,respuesta2,respuesta3,respuesta4,indice respuesta correcta
¿Quién fue el primer presidente de los Estados Unidos?,George Washington,Thomas Jefferson,Abraham Lincoln,Benjamin Franklin,1
¿Cuál es el planeta más grande del sistema solar?,Saturno,Júpiter,Urano,Neptuno,2
¿Cuál es el país con mayor población del mundo?,India,China,Estados Unidos,Indonesia,2
¿Qué personaje de Disney pierde su zapato de cristal?,Aurora,Bella,Cenicienta,Rapunzel,3
¿En qué deporte se usa un "putter"?,Golf,Fútbol,Tenis,Baloncesto,1
¿Qué planeta es conocido como el Planeta Rojo?,Marte,Júpiter,Saturno,Venus,1
¿Cuál es el océano más grande del mundo?,Océano Pacífico,Océano Atlántico,Océano Índico,Océano Ártico,1
¿Quién escribió "Cien años de soledad"?,Gabriel García Márquez,Mario Vargas Llosa,Jorge Luis Borges,Pablo Neruda,1
¿En qué año el hombre llegó a la Luna?,1969,1959,1975,1985,1
¿Cuál es el elemento químico con símbolo O?,Oxígeno,Oro,Ósmio,Plata,1
